DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
26,1200001,2,3
13,140100,2,2
3,1654502,3,4
12,1402000,3,4
23,1200001,2,4
26,511001,2,1
27,2650101,2,2
10,1657200,3,3
16,2200300,2,3
27,2650201,3,1
12,1211100,2,1
4,511001,2,2
17,1552500,2,1
19,2204402,3,3
29,1200501,3,4
24,2200300,2,1
23,1552500,2,3
12,1601002,3,4
6,2201601,3,2
4,1200800,3,4
26,1200001,2,4
9,1252501,3,3
15,511001,2,2
10,130651,3,4
20,1552500,2,3
5,1305201,2,1
25,1552500,2,3
2,76801,2,2
3,1201500,2,3
26,1552500,2,2
17,1552500,2,4
18,1553001,3,4
8,1200001,2,4
22,1200501,3,5
10,1200502,3,2
3,215510,3,1
22,140100,2,3
6,5110,3,1
14,1600500,3,1
8,2601001,2,1
16,215510,3,4
26,1450001,2,2
12,1200001,2,4
8,119203,2,1
1,1200502,3,1
14,1200001,2,3
15,1200001,2,4
28,1451200,3,2
2,1450502,3,3
5,511001,2,4
10,1202500,3,4
7,1552500,2,3
11,215510,3,4
12,1200502,3,1
12,1200502,3,4
14,1200001,2,2
4,1651503,2,2
11,121110,2,2
17,1651503,2,2
8,1200800,3,4
23,1701004,3,3
21,1456002,2,1
21,1601503,3,4
2,1200001,2,1
18,1200501,3,2
12,1192000,2,1
12,1601001,3,3
1,1601502,3,4
27,1200502,3,2
12,2202101,3,2
24,511001,2,4
18,1553001,3,2
27,2201601,3,3
18,1211200,3,2
16,1601503,3,2
27,2204401,3,2
27,1202000,2,2
10,1552500,2,3
18,1451200,3,4
28,1200001,2,2
24,1553005,3,3
30,1200001,2,1
20,1200001,2,3
4,1201401,2,2
26,265031,3,2
6,1450502,3,3
24,1450502,3,1
24,1651503,2,2
19,1201401,2,1
5,1902300,2,1
24,2200300,2,4
8,1651503,2,2
29,511001,2,2
4,1600500,3,3
3,1200501,3,2
20,1201401,2,4
25,1552500,2,2
20,1702000,2,1
26,1600500,3,4
14,1456002,2,4
20,1200800,3,3
7,1552500,2,4
10,2155003,2,3
17,1200800,3,4
25,1553005,3,3
8,1706503,3,2
26,1200001,2,3
25,1402502,3,1
23,1552500,2,3
1,1553008,3,1
13,1553005,3,4
15,215510,3,1
29,2201601,3,1
25,1601001,3,1
9,1200001,2,5
26,1402000,3,2
4,1651503,2,1
1,1200502,3,4
22,1552500,2,3
4,215510,3,1
7,119203,3,4
14,1553005,3,1
30,215510,3,1
9,1200501,3,2
22,1450003,2,2
20,1601001,3,3
20,2200300,2,4
1,1553004,3,1
1,1200001,2,4
11,1200001,2,4
4,511001,2,3
3,2201601,3,3
15,1651503,2,4
13,1654505,3,4
18,1651503,2,4
16,1601502,3,1
9,1211100,2,2
5,1552500,2,3
11,1651503,2,4
12,2200601,3,3
6,2200300,2,3
13,1200501,3,1
21,1200002,2,2
26,1200001,2,1
24,1201401,2,4
2,265031,3,1
23,1402000,3,4
5,2402603,1,4
18,2203901,3,1
16,1200001,2,4
1,1200001,2,4
11,1553001,3,1
24,215510,3,1
8,1200001,2,1
26,2650102,2,3
24,1200001,2,1
12,1202500,3,1
9,1200001,2,2
6,1552500,2,1
10,1200502,3,2
22,1211100,2,1
30,1950700,3,1
11,1553005,3,3
13,1552500,2,3
24,511001,2,4
18,1553001,3,2
19,1200502,3,1
9,215510,3,2
26,2650101,2,2
15,2650102,2,4
30,1450001,2,1
19,1201401,2,1
11,1402000,3,2
14,2601001,2,4
16,140100,2,2
26,1200001,2,4
23,215510,3,3
18,511001,2,1
4,1200001,2,1
22,1200502,3,1
30,1552500,2,4
14,1450001,2,5
25,119203,2,3
2,1450502,3,5
22,1211100,2,2
25,1305201,2,4
6,1200512,3,1
14,1402000,3,1
3,1200001,2,2
23,2601001,2,2
10,1402000,3,3
23,1200001,2,2
9,511001,2,1
7,1700500,2,3
20,1200001,2,5
20,51101,2,2
15,1450502,3,4
28,1211200,3,2
11,1200001,2,2
18,1211200,3,2
10,1553008,3,3
13,2201601,3,1
11,1553001,3,1
30,1552500,2,3
5,2650201,3,1
11,160102,3,4
29,1553001,3,3
7,1450001,2,3
4,2403002,2,3
13,265031,3,2
8,1201500,2,3
13,265031,3,2
6,1402000,3,1
